23:14:50.977 > Calibrating baro...

23:14:53.938 > Calibration done!

23:14:53.939 > Calibrating sensors

23:14:53.939 > Couldn't open log file

23:14:53.939 > Couldn't open log file

23:14:53.939 > Starting Sensor Calibration...

23:14:53.940 > 

23:14:53.940 > Internal calibration complete!

23:14:53.940 > Starting external gyroscope offset calibration...

23:14:56.900 > Couldn't open log file

23:14:59.864 > Sensors calibrated

23:14:59.864 > Couldn't open log file

23:14:59.864 > Using default angles

23:14:59.864 > Couldn't open log file

23:14:59.864 > rpy init: 0.00, 0.00, 0.00

23:14:59.866 > Couldn't open log file

23:15:06.119 > >alt:0.075,vel:-0.021,accelAlt:0.068,accelVel:-0.036,baroAlt:0.217,deviation:0.149;

23:15:06.122 > >alt:0.077,vel:-0.018,accelAlt:0.075,accelVel:-0.022,baroAlt:0.108,deviation:0.033;

23:15:06.130 > >alt:0.078,vel:-0.016,accelAlt:0.077,accelVel:-0.019,baroAlt:0.108,deviation:0.032;

23:15:06.136 > >alt:0.094,vel:0.015,accelAlt:0.078,accelVel:-0.017,baroAlt:0.396,deviation:0.318;

23:15:06.141 > >alt:0.109,vel:0.044,accelAlt:0.094,accelVel:0.014,baroAlt:0.396,deviation:0.302;

23:15:06.144 > >alt:0.124,vel:0.072,accelAlt:0.109,accelVel:0.043,baroAlt:0.396,deviation:0.287;

23:15:06.153 > >alt:0.122,vel:0.066,accelAlt:0.124,accelVel:0.071,baroAlt:0.079,deviation:-0.045;

23:15:06.153 > >alt:0.120,vel:0.061,accelAlt:0.122,accelVel:0.065,baroAlt:0.079,deviation:-0.043;

23:15:06.165 > >alt:0.094,vel:0.008,accelAlt:0.120,accelVel:0.060,baroAlt:-0.402,deviation:-0.522;

23:15:06.169 > >alt:0.070,vel:-0.043,accelAlt:0.094,accelVel:0.007,baroAlt:-0.402,deviation:-0.496;

23:15:06.172 > >alt:0.046,vel:-0.090,accelAlt:0.069,accelVel:-0.043,baroAlt:-0.402,deviation:-0.471;

23:15:06.181 > >alt:0.044,vel:-0.094,accelAlt:0.045,accelVel:-0.091,baroAlt:0.016,deviation:-0.029;

23:15:06.186 > >alt:0.042,vel:-0.098,accelAlt:0.043,accelVel:-0.095,baroAlt:0.016,deviation:-0.027;

23:15:06.193 > >alt:0.032,vel:-0.117,accelAlt:0.041,accelVel:-0.099,baroAlt:-0.137,deviation:-0.179;

23:15:06.194 > >alt:0.023,vel:-0.135,accelAlt:0.032,accelVel:-0.118,baroAlt:-0.137,deviation:-0.169;

23:15:06.204 > >alt:0.011,vel:-0.160,accelAlt:0.023,accelVel:-0.136,baroAlt:-0.217,deviation:-0.239;

23:15:06.205 > >alt:-0.002,vel:-0.183,accelAlt:0.010,accelVel:-0.161,baroAlt:-0.217,deviation:-0.226;

23:15:06.214 > >alt:-0.013,vel:-0.205,accelAlt:-0.003,accelVel:-0.184,baroAlt:-0.217,deviation:-0.214;

23:15:06.219 > >alt:-0.011,vel:-0.199,accelAlt:-0.014,accelVel:-0.206,baroAlt:0.053,deviation:0.067;

23:15:06.226 > >alt:-0.009,vel:-0.194,accelAlt:-0.012,accelVel:-0.201,baroAlt:0.053,deviation:0.065;

23:15:06.230 > >alt:-0.010,vel:-0.194,accelAlt:-0.010,accelVel:-0.195,baroAlt:0.003,deviation:0.013;

23:15:06.237 > >alt:-0.010,vel:-0.193,accelAlt:-0.011,accelVel:-0.195,baroAlt:0.003,deviation:0.013;

23:15:06.242 > >alt:-0.010,vel:-0.193,accelAlt:-0.011,accelVel:-0.194,baroAlt:0.003,deviation:0.014;

23:15:06.249 > >alt:0.004,vel:-0.162,accelAlt:-0.011,accelVel:-0.193,baroAlt:0.301,deviation:0.313;

23:15:06.253 > >alt:0.018,vel:-0.133,accelAlt:0.003,accelVel:-0.163,baroAlt:0.301,deviation:0.298;

23:15:06.253 > >alt:0.024,vel:-0.121,accelAlt:0.017,accelVel:-0.134,baroAlt:0.151,deviation:0.133;

23:15:06.265 > >alt:0.030,vel:-0.109,accelAlt:0.023,accelVel:-0.122,baroAlt:0.151,deviation:0.127;

23:15:06.272 > >alt:0.035,vel:-0.098,accelAlt:0.029,accelVel:-0.110,baroAlt:0.148,deviation:0.119;

23:15:06.277 > >alt:0.040,vel:-0.088,accelAlt:0.034,accelVel:-0.099,baroAlt:0.148,deviation:0.114;

23:15:06.280 > >alt:0.045,vel:-0.078,accelAlt:0.040,accelVel:-0.089,baroAlt:0.148,deviation:0.108;

23:15:06.288 > >alt:0.044,vel:-0.080,accelAlt:0.045,accelVel:-0.079,baroAlt:0.032,deviation:-0.013;

23:15:06.289 > >alt:0.043,vel:-0.082,accelAlt:0.043,accelVel:-0.081,baroAlt:0.032,deviation:-0.012;

23:15:06.300 > >alt:0.047,vel:-0.075,accelAlt:0.042,accelVel:-0.083,baroAlt:0.127,deviation:0.084;

23:15:06.303 > >alt:0.050,vel:-0.067,accelAlt:0.046,accelVel:-0.076,baroAlt:0.127,deviation:0.081;

23:15:06.311 > >alt:0.054,vel:-0.059,accelAlt:0.050,accelVel:-0.068,baroAlt:0.140,deviation:0.090;

23:15:06.312 > >alt:0.058,vel:-0.052,accelAlt:0.054,accelVel:-0.060,baroAlt:0.140,deviation:0.086;

23:15:06.321 > >alt:0.062,vel:-0.045,accelAlt:0.058,accelVel:-0.053,baroAlt:0.140,deviation:0.082;

23:15:06.326 > >alt:0.061,vel:-0.046,accelAlt:0.062,accelVel:-0.045,baroAlt:0.053,deviation:-0.009;

23:15:06.332 > >alt:0.061,vel:-0.048,accelAlt:0.061,accelVel:-0.047,baroAlt:0.053,deviation:-0.008;

23:15:06.336 > >alt:0.063,vel:-0.045,accelAlt:0.060,accelVel:-0.049,baroAlt:0.103,deviation:0.043;

23:15:06.344 > >alt:0.064,vel:-0.042,accelAlt:0.062,accelVel:-0.046,baroAlt:0.103,deviation:0.041;

23:15:06.347 > >alt:0.066,vel:-0.038,accelAlt:0.064,accelVel:-0.042,baroAlt:0.103,deviation:0.039;

23:15:06.355 > >alt:0.061,vel:-0.049,accelAlt:0.066,accelVel:-0.039,baroAlt:-0.032,deviation:-0.098;

23:15:06.358 > >alt:0.056,vel:-0.059,accelAlt:0.061,accelVel:-0.050,baroAlt:-0.032,deviation:-0.092;

23:15:06.367 > >alt:0.045,vel:-0.082,accelAlt:0.056,accelVel:-0.060,baroAlt:-0.164,deviation:-0.220;

23:15:06.369 > >alt:0.034,vel:-0.104,accelAlt:0.044,accelVel:-0.083,baroAlt:-0.164,deviation:-0.208;

23:15:06.378 > >alt:0.022,vel:-0.128,accelAlt:0.033,accelVel:-0.105,baroAlt:-0.196,deviation:-0.229;

23:15:06.383 > >alt:0.010,vel:-0.150,accelAlt:0.021,accelVel:-0.129,baroAlt:-0.196,deviation:-0.216;

23:15:06.388 > >alt:-0.001,vel:-0.172,accelAlt:0.009,accelVel:-0.151,baroAlt:-0.196,deviation:-0.205;

23:15:06.391 > >alt:0.000,vel:-0.169,accelAlt:-0.002,accelVel:-0.173,baroAlt:0.034,deviation:0.036;

23:15:06.399 > >alt:0.001,vel:-0.166,accelAlt:-0.001,accelVel:-0.170,baroAlt:0.034,deviation:0.035;

23:15:06.407 > >alt:0.005,vel:-0.158,accelAlt:-0.000,accelVel:-0.167,baroAlt:0.095,deviation:0.095;

23:15:06.408 > >alt:0.008,vel:-0.150,accelAlt:0.004,accelVel:-0.159,baroAlt:0.095,deviation:0.092;

23:15:06.417 > >alt:0.018,vel:-0.130,accelAlt:0.007,accelVel:-0.150,baroAlt:0.211,deviation:0.204;

23:15:06.419 > >alt:0.026,vel:-0.112,accelAlt:0.017,accelVel:-0.131,baroAlt:0.211,deviation:0.195;

23:15:06.428 > >alt:0.035,vel:-0.094,accelAlt:0.026,accelVel:-0.113,baroAlt:0.211,deviation:0.185;

23:15:06.435 > >alt:0.045,vel:-0.075,accelAlt:0.035,accelVel:-0.095,baroAlt:0.233,deviation:0.198;

23:15:06.440 > >alt:0.053,vel:-0.057,accelAlt:0.044,accelVel:-0.076,baroAlt:0.233,deviation:0.188;

23:15:06.446 > >alt:0.060,vel:-0.045,accelAlt:0.053,accelVel:-0.058,baroAlt:0.188,deviation:0.134;

23:15:06.451 > >alt:0.066,vel:-0.033,accelAlt:0.060,accelVel:-0.046,baroAlt:0.188,deviation:0.128;

23:15:06.456 > >alt:0.072,vel:-0.021,accelAlt:0.066,accelVel:-0.034,baroAlt:0.188,deviation:0.122;

